City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,carauari,-4.8828,-66.8958,26.26,69,94,0.81,BR,2024-11-11 22:21:31
92,wajir,1.7471,40.0573,26.62,68,50,6.23,KE,2024-11-11 22:21:32
93,purpe,64.4803,76.6897,-20.55,93,100,6.52,RU,2024-11-11 22:21:33
94,uturoa,-16.7333,-151.4333,26.13,80,78,9.21,PF,2024-11-11 22:19:55
95,jinghong,21.991,100.7341,27.18,65,26,0.8,CN,2024-11-11 22:21:36
96,ulanhot,46.0833,122.0833,6.04,23,1,2.25,CN,2024-11-11 22:21:22
97,port lincoln,-34.7333,135.8667,19.53,65,2,8.92,AU,2024-11-11 22:21:38
98,queenstown,-31.8976,26.8753,13.06,80,61,0.68,ZA,2024-11-11 22:21:39
99,hamilton,39.1834,-84.5333,9.1,75,0,5.14,US,2024-11-11 22:19:44
100,vorkuta,67.5,64.0,-17.98,88,48,4.07,RU,2024-11-11 22:21:41
101,petrolina,-9.3986,-40.5008,23.03,94,100,1.54,BR,2024-11-11 22:21:42
102,sisimiut,66.9395,-53.6735,-3.57,69,100,3.49,GL,2024-11-11 22:21:44
103,new norfolk,-42.7826,147.0587,21.51,23,2,1.64,AU,2024-11-11 22:21:45
104,ust-nera,64.5667,143.2,-29.25,99,81,0.97,RU,2024-11-11 22:21:47
105,nemuro,43.3236,145.575,9.98,83,100,7.42,JP,2024-11-11 22:21:48
106,pangoa,-12.1167,-73.0,20.94,99,100,1.3,PE,2024-11-11 22:21:49
107,tanjung sepat,2.6579,101.5629,31.08,70,40,1.03,MY,2024-11-11 22:21:50
108,tabou,4.423,-7.3528,25.45,84,24,2.59,CI,2024-11-11 22:21:51
109,manistee,44.2445,-86.3242,3.86,87,0,3.6,US,2024-11-11 22:21:52
110,launceston,-41.45,147.1667,24.8,38,9,6.17,AU,2024-11-11 22:21:53
111,bredasdorp,-34.5322,20.0403,16.08,80,25,0.66,ZA,2024-11-11 22:21:55
